,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyRate,MonthlyIncome,MonthlyRate
0,3.0,0,2,0,0.0,2,1,2,0,4.0,3,2,2,4,2,8,1,11,3,1,0,1.0,0,1,1.0,4,0,5,0.030436967443042764,0.016794155585769053,0.030047719012553216
1,4.0,0,1,1,1.0,1,1,3,1,2.0,2,2,3,2,1,1,0,23,4,4,1,1.0,3,3,1.0,7,1,7,0.005371229548772252,0.013972737447359851,0.03944194840498365
2,2.0,1,2,1,1.0,2,4,4,1,4.0,2,1,2,3,2,6,1,15,3,2,0,1.0,3,3,0.0,0,0,0,0.03849381176620115,0.0037618908512122677,0.0005526017289664959
3,2.0,0,1,1,1.0,4,1,4,0,2.0,3,1,3,3,1,1,1,11,3,3,0,1.0,3,3,1.0,7,3,0,0.03849381176620115,0.006448955744935316,0.03640263889566792
4,1.0,0,2,1,1.0,1,3,1,1,1.0,3,1,2,2,1,9,0,12,3,4,1,1.0,3,3,1.0,2,2,2,0.015218483721521382,0.00832990117054145,0.025143378667975565
5,2.0,0,1,1,1.0,2,1,4,1,3.0,3,1,2,4,2,0,0,13,3,3,0,1.0,2,2,1.0,7,3,6,0.027751352668656637,0.006986368723679926,0.01692342794959894
6,5.0,0,2,1,1.0,3,3,3,0,3.0,4,1,2,1,1,4,1,20,4,1,3,2.0,3,2,1.0,0,0,0,0.036703401916610395,0.005642836276818402,0.013607817575799963
7,2.0,0,2,1,3.0,1,1,4,1,2.0,3,1,2,3,0,1,0,22,4,2,1,1.0,2,3,1.0,0,0,0,0.03759860684140577,0.005777189521504554,0.01947921094606898
8,2.0,0,1,1,3.0,3,1,4,1,1.0,2,3,4,3,2,0,0,21,4,2,0,1.0,2,3,1.0,7,1,8,0.0035808196991815016,0.028617241118150463,0.011604636308296414
9,2.0,0,2,1,3.0,3,3,3,1,4.0,3,2,2,3,1,6,0,13,3,2,2,2.0,3,2,1.0,7,7,7,0.03580819699181502,0.014241443936732157,0.025074303451854754
10,2.0,0,2,1,2.0,3,3,1,1,3.0,4,1,2,2,1,0,0,13,3,3,1,1.0,5,3,1.0,4,0,3,0.02148491819508901,0.004836716808701487,0.02486707780349232
11,2.0,0,2,1,2.0,2,1,4,0,1.0,2,2,2,3,2,0,1,12,3,4,0,1.0,3,3,1.0,5,0,8,0.0017904098495907508,0.010748259574892192,0.018304932272015177
12,2.0,0,2,1,3.0,1,1,1,1,1.0,3,1,3,3,0,1,0,17,3,4,1,1.0,1,2,1.0,2,4,3,0.017008893571112134,0.006448955744935316,0.022587595671505523
13,2.0,0,2,1,2.0,2,3,2,1,4.0,3,1,2,4,0,0,0,11,3,3,1,1.0,2,3,1.0,2,1,2,0.03759860684140577,0.005642836276818402,0.011535561092175604
14,1.0,1,2,1,3.0,3,1,3,1,1.0,2,1,2,3,2,5,1,14,3,2,0,1.0,4,3,1.0,2,0,3,0.0008952049247953754,0.003493184361839963,0.01878845878486086
15,2.0,0,2,1,2.0,4,1,2,0,2.0,4,3,4,1,0,1,0,11,3,3,1,1.0,1,3,1.0,9,8,8,0.03849381176620115,0.030229480054384292,0.014022268872524835
16,2.0,0,2,1,1.0,2,1,1,1,3.0,4,1,3,2,0,0,1,12,3,4,2,1.0,5,2,1.0,2,0,5,0.007161639398363003,0.00779248819179684,0.022380370023143085
17,1.0,0,0,1,2.0,2,3,4,1,4.0,4,1,2,4,0,1,1,13,3,2,2,1.0,2,2,1.0,0,0,0,0.03133217236783814,0.0065833089896214685,0.009048853311826371
18,4.0,0,2,0,1.0,4,1,1,0,3.0,2,4,1,4,1,2,0,16,3,3,0,4.0,3,3,3.0,8,3,7,0.03401778714222427,0.04850152133170102,0.03446853284428519
19,2.0,0,2,1,1.0,3,1,4,1,1.0,3,1,3,4,2,5,1,11,3,3,0,1.0,3,3,1.0,2,1,2,0.008056844323158379,0.009942140106775278,0.0038682121027654717
20,1.0,0,0,1,1.0,2,4,1,0,4.0,4,2,4,3,0,0,0,18,3,4,1,1.0,5,2,1.0,2,1,3,0.01790409849590751,0.010210846596147584,0.010637583282605046
21,2.0,0,2,0,1.0,4,1,3,1,3.0,2,1,3,1,2,7,0,23,4,2,0,1.0,4,3,1.0,3,0,3,0.03401778714222427,0.008061194681169144,0.008496251582859875
22,2.0,0,2,2,1.0,4,1,1,0,2.0,3,3,3,2,2,0,0,11,3,3,0,2.0,4,3,2.0,6,2,11,0.00984725417274913,0.03694714228869191,0.03315610373798976
23,1.0,0,2,1,2.0,2,1,3,1,4.0,3,1,3,4,2,1,0,14,3,4,0,0.0,6,3,0.0,0,0,0,0.008952049247953755,0.0008061194681169145,0.029702342931949156
24,2.0,0,2,1,1.0,1,3,2,1,3.0,3,1,3,1,2,2,0,11,3,3,0,1.0,2,3,1.0,2,1,3,0.01790409849590751,0.0065833089896214685,0.02597228126142531
25,4.0,0,2,2,1.0,3,4,3,0,2.0,3,5,3,3,0,4,0,11,3,4,1,3.0,3,2,2.0,13,4,8,0.03580819699181502,0.06086201984282704,0.014989321898216203
26,2.0,1,1,1,2.0,1,1,2,0,3.0,1,1,3,1,2,1,1,22,4,2,0,1.0,5,3,1.0,2,6,7,0.03133217236783814,0.009807786862089126,0.004489889047852779
27,3.0,0,2,0,1.0,4,2,3,1,1.0,3,2,2,2,1,0,0,11,3,4,1,1.0,2,3,1.0,7,4,2,0.01790409849590751,0.019615573724178253,0.03294887808962732
28,3.0,0,2,1,1.0,4,3,1,0,1.0,2,3,2,4,1,3,0,14,3,4,1,3.0,4,3,3.0,6,5,17,0.01163766402233988,0.031035599522501206,0.0
29,3.0,0,2,0,1.0,4,2,2,0,3.0,3,5,1,1,2,3,0,12,3,4,0,3.0,2,2,1.0,2,2,1,0.018799303420702886,0.06032460686408243,0.035850037166701425
30,2.0,0,2,1,1.0,3,3,3,1,3.0,3,1,2,4,2,4,0,11,3,4,0,1.0,3,3,1.0,1,0,0,0.025065737894270513,0.005105423298073792,0.007943649853893378
31,3.0,0,2,1,1.0,4,4,4,1,1.0,3,2,2,4,1,2,1,13,3,4,0,1.0,5,4,1.0,2,1,3,0.04117942654058727,0.01840639452200288,0.029426042067465907
32,2.0,0,2,1,1.0,2,3,4,1,3.0,2,1,2,3,2,1,0,13,3,1,0,1.0,5,3,1.0,0,1,8,0.0008952049247953754,0.004030597340584572,0.02424540085840501
33,3.0,0,2,0,1.0,3,5,4,1,2.0,3,2,3,4,1,3,0,14,3,3,1,2.0,6,4,1.0,0,0,0,0.024170532969475137,0.003627537606526115,0.0022104069158659836
34,1.0,1,2,1,0.0,3,3,2,1,2.0,3,1,3,4,1,2,1,16,3,1,1,1.0,2,2,1.0,0,2,0,0.02148491819508901,0.004433657074643029,0.001657805186899488
35,3.0,0,2,1,1.0,2,3,4,0,3.0,4,1,3,3,0,1,0,12,3,4,2,1.0,3,2,1.0,3,1,4,0.03580819699181502,0.005508483032132249,0.03426130719592275
36,4.0,1,2,0,1.0,2,2,1,1,3.0,2,1,3,3,1,1,1,14,3,3,0,1.0,2,3,1.0,2,0,2,0.02327532804467976,0.005642836276818402,0.002970234293194916
37,2.0,0,2,0,1.0,3,2,4,0,4.0,3,1,3,4,1,1,0,13,3,1,0,1.0,3,3,1.0,2,2,2,0.024170532969475137,0.003493184361839963,0.013124291062954279
38,2.0,0,2,1,1.0,4,1,2,0,3.0,2,1,3,1,1,9,1,14,3,4,1,1.0,3,4,1.0,1,0,0,0.022380123119884385,0.008195547925855298,0.0189956844332233
39,2.0,0,1,0,0.0,3,1,3,0,1.0,4,2,2,1,1,2,0,19,3,1,2,1.0,3,3,1.0,3,1,3,0.03133217236783814,0.014778856915476766,0.0019341060513827358
40,2.0,0,2,1,1.0,2,4,3,1,3.0,3,1,2,4,0,1,0,12,3,3,1,1.0,3,3,1.0,0,0,0,0.01163766402233988,0.003224477872467658,0.01526562276269945
41,1.0,0,2,1,1.0,4,1,4,0,1.0,3,1,2,1,0,1,0,13,3,4,1,1.0,6,3,1.0,0,0,0,0.03401778714222427,0.004568010319329182,0.03046217030927809
42,1.0,1,2,1,3.0,3,1,1,1,1.0,1,1,2,3,2,1,0,12,3,3,0,1.0,2,2,1.0,0,0,1,0.03759860684140577,0.004433657074643029,0.014643945817612143
43,1.0,0,1,0,1.0,3,1,4,1,1.0,3,3,2,3,2,1,0,15,3,4,0,1.0,0,3,1.0,8,1,7,0.026856147743861265,0.025930176224427417,0.0015887299707786759
